,name,Max диаметр сверления (металл),Max диаметр шурупа,Max крутящий момент ,Max размер крепежа,amount_of_reviews,description,Вес нетто,Длина кабеля,Зарядное устройство в комплекте,Количество аккумуляторов в комплекте,Мах диаметр сверления (бетон),Мах диаметр сверления (дерево),Мах диаметр сверления (кирпич),Мощность,Напряжение аккумулятора,Посадочный квадрат,Регулировка глубины завинчивания,Регулировка частоты вращения,Серия аккумулятора,Тип аккумулятора,Тип двигателя,Тип патрона,Упаковка,Частота вращения шпинделя
0,Дрель-шуруповерт Ryobi ONE+ R18DD3-220S 5133003348,13 мм,,50 Нм,,349,Сверлит в дереве отверстия диаметром до 38 мм,1.3 кг,,есть,,,38 мм,,,18 В,,,,,Li-Ion,,,,
1,Бесщеточная аккумуляторная дрель-шуруповерт AEG BS18SBL-202C 4935472277,,,65 Нм,,252,На 30% компактнее аналогов за счет нового двигателя OBL,1.3 кг,,есть,,,,,,18 В,,,,,Li-Ion,,,,
2,Аккумуляторный винтоверт KEYANG ID20BLH-230,,,230 Нм,,8,Мощная и компактная модель с зажимом оснастки в 1 касание,1 кг,,есть,,,,,,18 В,,,,,Li-Ion,,,,
3,Аккумуляторный ленточный шуруповерт KEYANG SD20BL,,,12 Нм,,10,Принимает саморезы до 57 мм,1 кг,,есть,,,,,,18 В,,,,,Li-Ion,,,,
4,Компактная дрель-шуруповерт Ryobi ONE+ R18DD3-120S 5133003347,13 мм,,50 Нм,,130,24 позиции крутящего момента – любой шуруп закручивается легко и аккуратно,1.3 кг,,есть,,,38 мм,,,18 В,,,,,Li-Ion,,,,
5,Дрель-шуруповерт AEG BS18G4-202C 4935478630,13 мм,,60 Нм,,1110,"2 АКБ в комплекте позволяют работать, не прерываясь на подзарядку",1.7 кг,,есть,,,54 мм,,,18 В,,,,,Li-Ion,,,,
6,Компактная дрель-шуруповерт Ryobi ONE+ R18DD3-115S 5133005301,13 мм,,50 Нм,,78,Быстрозажимной патрон с фиксатором 13 мм эффективно передает крутящий момент,1.7 кг,,есть,,,38 мм,,,18 В,,,,,Li-Ion,,,,
7,Бесщеточный импульсный винтоверт Ryobi ONE+ HP RID18C-0 5133004938,,,240 Нм,,115,Закрутит даже тугой крепеж: импульсный механизм и момент силы до 240 Нм,0.9 кг,,нет,,,,,,18 В,,,,,Li-Ion,,,,
8,Бесщеточная аккумуляторная ударная дрель-шуруповерт AEG 18В BSB18C3BL-402C 4935478938,13 мм,,110 Нм,,32,Частота ударов до 31 500 уд/мин позволяет делать отверстия диаметром до 13 мм,2.4 кг,,есть,,13 мм,65 мм,,,18 В,,,,,Li-Ion,,,,
9,Аккумуляторный винтоверт Ryobi ONE+ RID1801M 5133001168,,,220 Нм,,378,"3 светодиода, магнитная площадка и держатель для бит - для комфортной работы",1.2 кг,,нет,,,,,,18 В,,,,,Li-Ion/Ni-Cd,,,,
